Estructura;Tiempos;ID;SetDatos
compressedDense;0;3381895;subset10000000;
compressedDense;0;2092109;subset10000000;
compressedDense;0;4918130;subset10000000;
compressedDense;0;1412560;subset10000000;
compressedDense;0;9251026;subset10000000;
compressedDense;0;8902926;subset10000000;
compressedDense;0;7615694;subset10000000;
compressedDense;0;8403299;subset10000000;
compressedDense;0;4104651;subset10000000;
compressedDense;0;1534424;subset10000000;
compressedDense;0;4613951;subset10000000;
compressedDense;0;6393322;subset10000000;
compressedDense;0;6546878;subset10000000;
compressedDense;0;4783790;subset10000000;
compressedDense;0;6391995;subset10000000;
compressedDense;0;5560994;subset10000000;
compressedDense;0;9434684;subset10000000;
compressedDense;0;5589807;subset10000000;
compressedDense;0;5382376;subset10000000;
compressedDense;0;1960685;subset10000000;
compressedDense;0;890881;subset10000000;
compressedDense;0;1439713;subset10000000;
compressedDense;0;1199248;subset10000000;
compressedDense;0;588641;subset10000000;
compressedDense;0;1000763;subset10000000;
compressedDense;0;6637579;subset10000000;
compressedDense;0;5810808;subset10000000;
compressedDense;0;9435454;subset10000000;
compressedDense;0;3198213;subset10000000;
compressedDense;0;3754560;subset10000000;
compressedDense;0;6993093;subset10000000;
compressedDense;0;2093337;subset10000000;
compressedDense;0;8513384;subset10000000;
compressedDense;0;7808802;subset10000000;
compressedDense;0;4603612;subset10000000;
compressedDense;0;4099393;subset10000000;
compressedDense;0;4127145;subset10000000;
compressedDense;0;984754;subset10000000;
compressedDense;0;5662532;subset10000000;
compressedDense;0;1520403;subset10000000;
compressedDense;0;7538841;subset10000000;
compressedDense;0;5432646;subset10000000;
compressedDense;0;2686713;subset10000000;
compressedDense;0;7830865;subset10000000;
compressedDense;0;8408472;subset10000000;
compressedDense;0;2369606;subset10000000;
compressedDense;0;1256580;subset10000000;
compressedDense;0;1609444;subset10000000;
compressedDense;0;851618;subset10000000;
compressedDense;0;9140517;subset10000000;
compressedDense;0;2609846;subset10000000;
compressedDense;0;978856;subset10000000;
compressedDense;0;4311277;subset10000000;
compressedDense;0;9605141;subset10000000;
compressedDense;0;5651699;subset10000000;
compressedDense;0;7180351;subset10000000;
compressedDense;0;1514292;subset10000000;
compressedDense;0;5219702;subset10000000;
compressedDense;0;3869311;subset10000000;
compressedDense;0;5835541;subset10000000;
compressedDense;0;5472151;subset10000000;
compressedDense;0;2178292;subset10000000;
compressedDense;0;1993964;subset10000000;
compressedDense;0;7834895;subset10000000;
compressedDense;0;3859950;subset10000000;
compressedDense;0;1932626;subset10000000;
compressedDense;0;446943;subset10000000;
compressedDense;0;3647817;subset10000000;
compressedDense;0;1705443;subset10000000;
compressedDense;0;1443728;subset10000000;
compressedDense;0;2573783;subset10000000;
compressedDense;0;4759446;subset10000000;
compressedDense;0;8017687;subset10000000;
compressedDense;0;77171;subset10000000;
compressedDense;0;5040892;subset10000000;
compressedDense;0;2050418;subset10000000;
compressedDense;0;8411301;subset10000000;
compressedDense;0;720699;subset10000000;
compressedDense;0;2281981;subset10000000;
compressedDense;0;8185270;subset10000000;
compressedDense;0;4104906;subset10000000;
compressedDense;0;3740438;subset10000000;
compressedDense;0;1685736;subset10000000;
compressedDense;0;3605442;subset10000000;
compressedDense;0;7678464;subset10000000;
compressedDense;0;7987941;subset10000000;
compressedDense;0;329572;subset10000000;
compressedDense;0;4091018;subset10000000;
compressedDense;0;1121352;subset10000000;
compressedDense;0;2994666;subset10000000;
compressedDense;0;1965256;subset10000000;
compressedDense;0;7608879;subset10000000;
compressedDense;0;5058909;subset10000000;
compressedDense;0;7889483;subset10000000;
compressedDense;0;5225386;subset10000000;
compressedDense;0;892469;subset10000000;
compressedDense;1;664791;subset10000000;
compressedDense;0;4214664;subset10000000;
compressedDense;0;5242326;subset10000000;
compressedDense;0;530632;subset10000000;
compressedDense;0;2161863;subset10000000;
compressedDense;0;5550895;subset10000000;
compressedDense;0;5557287;subset10000000;
compressedDense;0;3711214;subset10000000;
compressedDense;0;1450816;subset10000000;
compressedDense;0;9533289;subset10000000;
compressedDense;0;3327237;subset10000000;
compressedDense;0;2016427;subset10000000;
compressedDense;0;8157687;subset10000000;
compressedDense;0;7529627;subset10000000;
compressedDense;0;735941;subset10000000;
compressedDense;0;3840466;subset10000000;
compressedDense;0;6389588;subset10000000;
compressedDense;0;317177;subset10000000;
compressedDense;0;6888294;subset10000000;
compressedDense;0;2302372;subset10000000;
compressedDense;0;7149447;subset10000000;
compressedDense;0;2447423;subset10000000;
compressedDense;0;2202547;subset10000000;
compressedDense;0;7764636;subset10000000;
compressedDense;0;1680595;subset10000000;
compressedDense;0;5049137;subset10000000;
compressedDense;0;9431244;subset10000000;
compressedDense;0;7015901;subset10000000;
compressedDense;0;6488745;subset10000000;
compressedDense;0;9694669;subset10000000;
compressedDense;0;9475908;subset10000000;
compressedDense;0;9308691;subset10000000;
compressedDense;0;5288013;subset10000000;
compressedDense;0;3000098;subset10000000;
compressedDense;0;1761771;subset10000000;
compressedDense;0;3179421;subset10000000;
compressedDense;0;5517585;subset10000000;
compressedDense;0;6265112;subset10000000;
compressedDense;0;3556463;subset10000000;
compressedDense;0;9797446;subset10000000;
